"","date","time","state","cases_new","cases_import","cases_recovered","cases_active","cases_cluster","cases_pvax","cases_fvax","cases_child","cases_adolescent","cases_adult","cases_elderly","cases_truncate","ma_7day_cases","ma_7day_cases_truncate","rollcases_7d","deaths_new","deaths_bid","deaths_new_dod","deaths_bid_dod","deaths_pvax","deaths_fvax","deaths_tat","ma_7day_deaths","rolldeaths_7d","rt","lower","upper","population_new","ir_7day","mr_7day"
"93","2020-04-26",93,"Malaysia",38,5,100,1821,25,0,0,1,2,22,8,NA,59,59,391,0,0,0,0,0,0,0,1,9,0.705430782903888,0.705430782903888,0.705430782903888,32696400,1.19585030767913,0.0275259661614123
"94","2020-04-27",94,"Malaysia",40,5,95,1765,17,0,0,4,0,18,2,NA,57,57,395,1,0,1,0,0,0,0,1.14285714285714,9,0.767492702400273,0.767492702400273,0.767492702400273,32696400,1.20808407041754,0.0275259661614123
"95","2020-04-28",95,"Malaysia",31,10,75,1720,7,0,0,1,1,17,4,NA,54.2857142857143,54.2857142857143,369,1,0,1,0,0,0,0,1,8,0.815094168219336,0.815094168219336,0.815094168219336,32696400,1.1285646126179,0.0244675254768109
"96","2020-04-29",96,"Malaysia",94,72,55,1758,13,0,0,0,9,81,1,NA,62,62,413,1,0,1,0,0,0,0,0.857142857142857,7,0.869614268204076,0.869614268204076,0.869614268204076,32696400,1.26313600274036,0.0214090847922095
"97","2020-04-30",97,"Malaysia",57,26,84,1729,8,0,0,3,3,45,5,NA,74,74,399,2,0,2,0,0,0,0,1,8,0.954823692419737,0.954823692419737,0.954823692419737,32696400,1.22031783315594,0.0244675254768109
"98","2020-05-01",98,"Malaysia",69,12,39,1759,5,0,0,1,3,35,1,NA,76.1428571428571,76.1428571428571,380,0,0,0,0,0,0,0,0.857142857142857,7,1.03544481572103,1.03544481572103,1.03544481572103,32696400,1.16220746014852,0.0214090847922095
"99","2020-05-02",99,"Malaysia",105,11,116,1747,53,0,0,6,4,86,5,NA,76,76,434,1,0,1,0,0,0,0,1,6,1.11487812717888,1.11487812717888,1.11487812717888,32696400,1.32736325711699,0.0183506441076082
"100","2020-05-03",100,"Malaysia",122,52,87,1781,21,0,0,2,18,89,3,NA,69,69,518,1,0,1,0,0,0,0,0.857142857142857,7,1.14635872953472,1.14635872953472,1.14635872953472,32696400,1.58427227462351,0.0214090847922095
"101","2020-05-04",101,"Malaysia",55,7,71,1765,27,0,0,2,3,43,0,NA,66.4285714285714,66.4285714285714,533,0,0,0,0,0,0,0,0.714285714285714,6,1.15684784133693,1.15684784133693,1.15684784133693,32696400,1.63014888489253,0.0183506441076082
"102","2020-05-05",102,"Malaysia",30,1,83,1710,22,0,0,0,0,23,2,NA,66.2857142857143,66.2857142857143,532,2,0,2,0,0,0,0,0.714285714285714,7,1.15708673054708,1.15708673054708,1.15708673054708,32696400,1.62709044420793,0.0214090847922095
"103","2020-05-06",103,"Malaysia",45,1,135,1620,28,0,0,0,3,34,5,NA,59,59,483,0,0,0,0,0,0,0,0.714285714285714,6,1.11528530761954,1.11528530761954,1.11528530761954,32696400,1.47722685066246,0.0183506441076082
"104","2020-05-07",104,"Malaysia",39,1,74,1584,27,0,0,0,2,25,4,NA,51.1428571428571,51.1428571428571,465,1,0,1,0,0,0,0,0.714285714285714,5,1.03106691323989,1.03106691323989,1.03106691323989,32696400,1.42217491833963,0.0152922034230068
"105","2020-05-08",105,"Malaysia",68,4,88,1564,57,0,0,0,1,65,1,NA,53.2857142857143,53.2857142857143,464,0,0,0,0,0,0,0,0.714285714285714,5,0.954355274243446,0.954355274243446,0.954355274243446,32696400,1.41911647765503,0.0152922034230068
"106","2020-05-09",106,"Malaysia",54,1,65,1552,31,0,0,0,0,47,1,NA,51.2857142857143,51.2857142857143,413,1,0,1,0,0,0,0,0.571428571428571,5,0.884563546413854,0.884563546413854,0.884563546413854,32696400,1.26313600274036,0.0152922034230068
