"","state","date","cumul_partial","cumul_full","total","pop","perc_vax1","perc_vax2","perc_reg","perc_pop","diff_vax2","diff_vax1","diff_reg","diff_pop"
"3042","Sabah","2021-08-13",1267368,589526,1372472,3908500,0.32425943456569,0.150831776896508,0.351150569272099,1,0.150831776896508,0.173427657669183,0.0268911347064091,0.648849430727901
"3043","Sabah","2021-08-14",1290034,618122,1394521,3908500,0.330058590252015,0.158148138672125,0.356791863886401,1,0.158148138672125,0.17191045157989,0.0267332736343866,0.643208136113599
"3044","Sabah","2021-08-15",1310483,643732,1415542,3908500,0.3352905206601,0.164700524497889,0.362170141998209,1,0.164700524497889,0.170589996162211,0.0268796213381092,0.637829858001791
"3045","Sabah","2021-08-16",1341259,669038,1435306,3908500,0.343164641166688,0.171175131124472,0.367226813355507,1,0.171175131124472,0.171989510042216,0.0240621721888192,0.632773186644493
"3046","Sabah","2021-08-17",1373198,697600,1453537,3908500,0.35133631828067,0.178482793910707,0.371891262632724,1,0.178482793910707,0.172853524369963,0.0205549443520532,0.628108737367276
"3047","Sabah","2021-08-18",1402825,728412,1471818,3908500,0.358916464116669,0.186366125111936,0.376568504541384,1,0.186366125111936,0.172550339004733,0.0176520404247154,0.623431495458616
"3048","Sabah","2021-08-19",1429677,760343,1488528,3908500,0.365786618907509,0.194535755404887,0.380843801970065,1,0.194535755404887,0.171250863502623,0.0150571830625559,0.619156198029935
"3049","Sabah","2021-08-20",1452190,792161,1502733,3908500,0.371546629141614,0.202676474350774,0.384478188563388,1,0.202676474350774,0.16887015479084,0.0129315594217731,0.615521811436613
"3050","Sabah","2021-08-21",1471489,827983,1513906,3908500,0.376484329026481,0.21184162722272,0.387336829985928,1,0.21184162722272,0.164642701803761,0.0108525009594473,0.612663170014072
"3051","Sabah","2021-08-22",1488933,852675,1523955,3908500,0.380947422284764,0.218159140335167,0.389907893053601,1,0.218159140335167,0.162788281949597,0.00896047076883716,0.610092106946399
"3052","Sabah","2021-08-23",1506548,882746,1533575,3908500,0.385454266342587,0.225852884738391,0.392369195343482,1,0.225852884738391,0.159601381604196,0.00691492900089546,0.607630804656518
"3053","Sabah","2021-08-24",1525230,914503,1543705,3908500,0.39023410515543,0.233977996673916,0.394960982474095,1,0.233977996673916,0.156256108481515,0.00472687731866445,0.605039017525905
"3054","Sabah","2021-08-25",1542956,949949,1553037,3908500,0.394769348855059,0.243046948957401,0.397348599206857,1,0.243046948957401,0.151722399897659,0.00257925035179735,0.602651400793143
"3055","Sabah","2021-08-26",1563600,985352,1562547,3908500,0.400051170525777,0.252104899577843,0.39978175770756,1,0.252104899577843,0.147946270947934,-0.000269412818216686,0.60021824229244
"3056","Sabah","2021-08-27",1583415,1017619,1571796,3908500,0.405120890367149,0.2603604963541,0.402148138672125,1,0.2603604963541,0.144760394013049,-0.0029727516950237,0.597851861327875
"3057","Sabah","2021-08-28",1606255,1048359,1580979,3908500,0.410964564410899,0.268225406166048,0.404497633363183,1,0.268225406166048,0.142739158244851,-0.00646693104771656,0.595502366636817
"3058","Sabah","2021-08-29",1627105,1074435,1589495,3908500,0.416299091723167,0.274897019316873,0.406676474350774,1,0.274897019316873,0.141402072406294,-0.0096226173723935,0.593323525649226
"3059","Sabah","2021-08-30",1649691,1097924,1598112,3908500,0.422077779199181,0.280906741716771,0.408881156453883,1,0.280906741716771,0.14117103748241,-0.0131966227452987,0.591118843546117
"3060","Sabah","2021-08-31",1671240,1122563,1606681,3908500,0.427591147499041,0.287210694639887,0.411073557630805,1,0.287210694639887,0.140380452859153,-0.0165175898682359,0.588926442369195
"3061","Sabah","2021-09-01",1694535,1148685,1615159,3908500,0.433551234488934,0.293894077011641,0.413242676218498,1,0.293894077011641,0.139657157477293,-0.0203085582704363,0.586757323781502
"3062","Sabah","2021-09-02",1717491,1171315,1623441,3908500,0.439424587437636,0.299684022003326,0.41536164769093,1,0.299684022003326,0.13974056543431,-0.0240629397467059,0.58463835230907
"3063","Sabah","2021-09-03",1737627,1198936,1630044,3908500,0.44457643597288,0.30675092746578,0.417051042599463,1,0.30675092746578,0.1378255085071,-0.0275253933734169,0.582948957400537
"3064","Sabah","2021-09-04",1757802,1226619,1636435,3908500,0.44973826276065,0.313833695791224,0.418686196750672,1,0.313833695791224,0.135904566969426,-0.0310520660099783,0.581313803249328
"3065","Sabah","2021-09-05",1776190,1253699,1643253,3908500,0.454442880900601,0.320762184981451,0.420430599974415,1,0.320762184981451,0.133680695919151,-0.0340122809261865,0.579569400025585
"3066","Sabah","2021-09-06",1790768,1283064,1649990,3908500,0.458172700524498,0.328275297428681,0.422154279135218,1,0.328275297428681,0.129897403095817,-0.0360184213892797,0.577845720864782
"3067","Sabah","2021-09-07",1802824,1311116,1656179,3908500,0.461257259818345,0.335452475374184,0.423737751055392,1,0.335452475374184,0.12580478444416,-0.0375195087629526,0.576262248944608
"3068","Sabah","2021-09-08",1814403,1338465,1661876,3908500,0.464219777408213,0.342449788921581,0.425195343482154,1,0.342449788921581,0.121769988486632,-0.0390244339260586,0.574804656517846
"3069","Sabah","2021-09-09",1829738,1364331,1668580,3908500,0.468143277472176,0.34906767302034,0.426910579506204,1,0.34906767302034,0.119075604451836,-0.0412326979659716,0.573089420493796
"3070","Sabah","2021-09-10",1845303,1388399,1673897,3908500,0.472125623640783,0.355225534092363,0.42827094793399,1,0.355225534092363,0.11690008954842,-0.0438546757067929,0.57172905206601
"3071","Sabah","2021-09-11",1858016,1411269,1679044,3908500,0.475378278111808,0.36107688371498,0.429587821414865,1,0.36107688371498,0.114301394396827,-0.0457904566969426,0.570412178585135
