"","date","state","variant_count","variant","status"
"138",2021-05-02,"Sarawak",0,"Delta B.1.617.2","voc"
"139",2021-05-02,"Sarawak",0,"Eta B.1.525","voi"
"140",2021-05-02,"Sarawak",0,"Theta P.3","voi"
"141",2021-05-02,"Kelantan",10,"Beta B.1.351","voc"
"142",2021-05-02,"Kelantan",0,"Alpha B.1.1.7","voc"
"143",2021-05-02,"Kelantan",0,"Delta B.1.617.2","voc"
"144",2021-05-02,"Kelantan",0,"Eta B.1.525","voi"
"145",2021-05-02,"Kelantan",0,"Theta P.3","voi"
"146",2021-05-02,"Malaysia",50,"Beta B.1.351","voc"
"147",2021-05-02,"W.P. Kuala Lumpur",0,"Alpha B.1.1.7","voc"
"148",2021-05-02,"W.P. Kuala Lumpur",0,"Delta B.1.617.2","voc"
"149",2021-05-02,"W.P. Kuala Lumpur",0,"Eta B.1.525","voi"
"150",2021-05-02,"W.P. Kuala Lumpur",0,"Theta P.3","voi"
"151",2021-05-02,"Negeri Sembilan",0,"Beta B.1.351","voc"
"152",2021-05-02,"Perak",0,"Alpha B.1.1.7","voc"
"153",2021-05-02,"Perak",0,"Delta B.1.617.2","voc"
"154",2021-05-02,"Perak",0,"Eta B.1.525","voi"
"155",2021-05-02,"Perak",0,"Theta P.3","voi"
"156",2021-05-02,"Perak",10,"Beta B.1.351","voc"
"157",2021-05-02,"Kedah",0,"Alpha B.1.1.7","voc"
"158",2021-05-02,"Kedah",0,"Delta B.1.617.2","voc"
"159",2021-05-02,"Kedah",0,"Eta B.1.525","voi"
"160",2021-05-02,"Kedah",0,"Theta P.3","voi"
"161",2021-05-02,"Perlis",0,"Beta B.1.351","voc"
"162",2021-05-02,"Pulau Pinang",0,"Alpha B.1.1.7","voc"
"163",2021-05-02,"Pulau Pinang",0,"Delta B.1.617.2","voc"
"164",2021-05-02,"Pulau Pinang",0,"Eta B.1.525","voi"
"165",2021-05-02,"Pulau Pinang",0,"Theta P.3","voi"
"166",2021-05-02,"Pulau Pinang",0,"Beta B.1.351","voc"
"167",2021-05-02,"Negeri Sembilan",0,"Alpha B.1.1.7","voc"
"168",2021-05-02,"Negeri Sembilan",0,"Delta B.1.617.2","voc"
"169",2021-05-02,"Negeri Sembilan",0,"Eta B.1.525","voi"
"170",2021-05-02,"Negeri Sembilan",0,"Theta P.3","voi"
"171",2021-05-02,"Sabah",1,"Beta B.1.351","voc"
"172",2021-05-02,"Johor",0,"Alpha B.1.1.7","voc"
"173",2021-05-02,"Johor",0,"Delta B.1.617.2","voc"
"174",2021-05-02,"Johor",0,"Eta B.1.525","voi"
"175",2021-05-02,"Johor",0,"Theta P.3","voi"
"176",2021-05-02,"Sarawak",0,"Beta B.1.351","voc"
"177",2021-05-02,"Perlis",0,"Alpha B.1.1.7","voc"
"178",2021-05-02,"Perlis",0,"Delta B.1.617.2","voc"
"179",2021-05-02,"Perlis",0,"Eta B.1.525","voi"
"180",2021-05-02,"Perlis",0,"Theta P.3","voi"
"181",2021-05-02,"Selangor",16,"Beta B.1.351","voc"
"182",2021-05-02,"W.P. Labuan",0,"Alpha B.1.1.7","voc"
"183",2021-05-02,"W.P. Labuan",0,"Delta B.1.617.2","voc"
"184",2021-05-02,"W.P. Labuan",0,"Eta B.1.525","voi"
"185",2021-05-02,"W.P. Labuan",0,"Theta P.3","voi"
"186",2021-05-02,"W.P. Kuala Lumpur",0,"Beta B.1.351","voc"
"187",2021-05-02,"Sabah",0,"Alpha B.1.1.7","voc"
"188",2021-05-02,"Sabah",0,"Delta B.1.617.2","voc"
"189",2021-05-02,"Sabah",0,"Eta B.1.525","voi"
